Identifier,Company Name,Country of Exchange,"Company Market Cap(USD)","Historic P/E(FY0)","Total Debt to Total Equity, Percent(FY0)",Enterprise Value To EBITDA (Daily Time Series Ratio),Enterprise Value To Sales (Daily Time Series Ratio),P/E (Daily Time Series Ratio),Total Debt To Enterprise Value (Daily Time Series Ratio),"Enterprise Value (Daily Time Series)(USD)",Price To Book Value Per Share (Daily Time Series Ratio),"Quick Ratio(FY0)","Current Ratio(FY0)","Total Assets, Reported(FY0, USD)",Dividend yield,"Revenue(FY0, USD)","Net Income After Taxes(FY0, USD)","Capital Expenditures(FY0, USD)","Retained Earnings, TTM(FI0, USD)"
VDN.HNO,Vinatex DaNang JSC,Vietnam,3469610.63,,4.6,,,,0.67,9611467.92,1.87,0.47,0.85,9655251.34,0.08,21318038.63,91756.44,-503224.34,
DTA.HM,De Tam JSC,Vietnam,1834944.5,524.95,0.46,22.6,2.46,26.05,0.59,4347480.81,0.4,1.02,1.06,10328182.75,0,1596678.23,3389.55,,70690.43
VCT.HNO,Vinaconex's Construction Consultant JSC,Vietnam,162459.72,,0.51,,,,0.6,202128.8,,0.69,1.42,4305946.42,0,844711.94,-97079.09,-2349.6,
NHA.HN,Hanoi South Housing and Urban Development Corp,Vietnam,7787325.46,7.14,0.11,7.81,1.13,12.06,0,7974714.21,1.4,0.46,0.75,8148859.17,0.05,6613002.03,589530.23,-2022143.09,644762.13
AAA.HN,An Phat Plastic and Green Environment JSC,Vietnam,64340747.74,19.14,1.12,12.42,1.23,21.04,0.42,94645682.35,1.68,1.29,1.61,86955724.11,0.03,71821572.42,1803772.85,-12918142.86,3000922.37
HBS.HN,Hoa Binh Securities JSC,Vietnam,5021479.23,108.44,0,-28.35,-4.52,87.2,,-2344792.11,0.3,9.37,9.37,17378905.94,,514990.22,58212.3,0,50138.04
ND2.HNO,Northern Electricity Development and Investment JSC No2,Vietnam,21746191.6,6.99,2.91,15.83,13.87,390.04,0.75,83928102.63,1.13,0.77,0.83,91474862.81,0.09,16658627.76,3015536.32,-7016364.73,1260502.17
PMT.HNO,Telvina Vietnam Communication JSC,Vietnam,1029359.11,,,,,,0.37,1198175.51,0.28,,,5952217.27,0,7796124.86,,-123117.03,
LDP.HN,Lam Dong Pharmaceutical JSC,Vietnam,8292876.01,8.13,0.41,7.26,0.44,10.35,0.16,9819097.43,2.01,0.46,1.12,11224515.1,0.05,21542620.1,787323.07,-718789.71,817382.42
SD1.HNO,Songda1 JSC,Vietnam,469924.81,,,,0.91,,1.4,1575161.85,-1.72,0.55,0.88,9531882.11,0,1887624.43,-1822413.57,,-1484221.86
DRH.HM,Dream House Investment Corp,Vietnam,116228070.2,25.92,0.2,71.23,12.92,55.81,0.05,114584267.4,4.29,0.4,0.4,14539974.76,,8229862.02,637815.29,-554039.5,772267.51
PSI.HN,Petrovietnam Securities Inc,Vietnam,20622001.88,1650.72,0,-214,-5.39,1572.11,,-23041496.72,0.8,2.12,2.12,49831663.1,,4242513.68,13546.02,-2793.59,-18097.22
SMT.HN,Sam Cuong Material Electric and Telecom Corp,Vietnam,4893870.78,8.22,0.53,6.81,0.52,8.43,0.27,6378549.76,1.69,1.15,1.6,6496065.07,0,12660737.59,637964.16,-277262.19,579689.22
HHG.HN,Hoang Ha JSC,Vietnam,10622896.28,5.41,0.55,8.27,1.9,4.39,0.38,15972429.59,0.78,1.21,1.52,14950802.75,0,8343686.75,1471668.19,-2742759.43,1546046.43
VRC.HM,Vung Tau Real Estate and Construction JSC,Vietnam,4098286.29,,0.05,,0.76,,0.07,4434343.87,0.53,0.86,1.6,10232902.38,0,5928541.53,-254102.18,,-257433.83
VE2.HN,Vneco2 Electricity Construction JSC,Vietnam,1408485.5,4.39,0.48,4.36,0.42,5.22,0.3,1677393.64,1.1,1.4,1.53,2981464.6,0.1,3737013.42,253174.89,-86741.99,268829.84
KSA.HM,Binh Thuan Mineral Industry JSC,Vietnam,21324719.66,41.18,0,,3.08,66.9,0,22012020.23,0.5,14.67,14.71,48786833.02,,4822979.51,271890.94,-18924834.2,218178.91
HMH.HN,Hai Minh Corp,Vietnam,9370447.68,5.38,0,5.38,1.27,5.16,0,7374142.29,0.81,6.85,6.89,11977308.8,0.07,6041600.31,1480346.77,-1567499.58,729080.58
VHH.HNO,Thanh Dat Investment House Trading JSC,Vietnam,436358.75,,,,,,,436827.96,,,,5731999.59,0,436754.32,,0,
PDR.HM,Phat Dat Real Estate Development Corp,Vietnam,130963327.1,14.43,1.21,57.92,15.17,17.51,0.51,270443635.9,1.3,0.46,4.4,335446397.4,,17905423.36,6927280.32,-5671223.91,6625232.63
VLA.HN,Van Lang Technology Development and Investment JSC,Vietnam,531686.36,7.15,0,-0.57,-0.05,8.9,,-17102.99,0.75,13.96,14,739968.28,0.09,390898.98,79962.47,,59386.12
HPP.HNO,Hai Phong Paint JSC,Vietnam,17201239.53,7.92,0.87,,,,0.28,24157242.6,2.19,0.66,1.11,18999715.84,0.06,21574226.47,2065721.18,-1377421.64,
PCT.HN,Cuu Long Petro Gas Service Transportation JSC,Vietnam,10705334.77,17.49,0,6.65,0.13,15.29,0,7357723.27,0.91,2.56,2.68,15691963.13,0.09,48753314.53,734322.22,-1663988.57,703029.89
BVG.HNO,Bac Viet Steel JSC,Vietnam,523681.42,,,11.89,1.5,,0.95,12653218.11,0.23,,,18436451.32,0,9981253.59,,-87349.78,
CVN.HN,Vinam JSC,Vietnam,319996.42,22.48,0,16.83,,20.91,0,319314.19,0.32,1.18,1.18,1155959.77,0,0,14789.52,,15361.56
QCG.HM,Quoc Cuong GiaLai JSC,Vietnam,57872671.08,64.43,0.51,92.5,8.6,55.63,0.63,164089656.4,0.33,0.22,2.38,354954825.3,0,17160379.15,971596.76,-6339920.9,1021776.26
CLG.HM,Cotec Investment and Land House Development JSC,Vietnam,3880907.63,181.68,1.61,6.14,0.94,143.23,0.94,14596951.36,0.46,1.08,1.17,50056696.84,0,15468357.43,29761.97,-36032.03,21809.77
WSB.HNO,Western Sai Gon Beer JSC,Vietnam,24659863.95,6.13,0.96,4.6,1.13,5.26,0.41,40503323.46,1.23,0.49,0.64,49724950.63,0.08,36745950.06,4246762.99,-1915436.35,2687310.44
MIM.HN,Mineral and Mechanical JSC,Vietnam,610429.65,,0.74,,0.44,,0.58,1282610.27,0.61,0.38,0.83,4648299.53,0,2882304.41,-484896.9,-10803.33,-484896.9
PIV.HN,PIV JSC,Vietnam,7518796.99,2.08,0,12.74,0.91,1.69,0,7306322.83,1.03,1.39,1.53,3359938.12,0,6847568.24,410033.37,-236153.35,424562.43
WCS.HN,West Coach Station JSC,Vietnam,17174633.01,7.87,0,4.32,2.38,7.72,0,11816351.56,2.3,4.46,4.46,8684911.22,0.02,4812262.32,2147523.03,-42680.39,2253903.86
SMB.HNO,Sai Gon Mien Trung Beer JSC,Vietnam,27383471.36,9.32,0.33,3.58,0.97,7.2,0.22,32388846.7,1.49,0.28,0.76,31387911.77,0.09,33680965.81,3548139.44,-982767.86,436948.52
NET.HN,NET Detergent JSC,Vietnam,36302534.21,7.3,0,6.31,0.91,9.58,0,31356586.44,2.71,1.93,2.52,16542153.81,0.04,34887671.47,3860156.85,-2442983.75,3823921.21
IDJ.HN,IDJ Vietnam Investment JSC,Vietnam,3355710.71,1816.82,0,219.4,4.31,,0,3036312.2,0.29,7.96,7.96,12337153.37,,605511.28,1813.93,0,-45540.23
SCL.HN,Song Da Cao Cuong JSC,Vietnam,4914508.89,244.79,0.67,9.09,1.39,,0.39,7732059.18,0.61,0.5,0.87,13414493.32,0,6691408.61,14769.36,-245735.05,-484911.97
DNF.HNO,Da Nang Food JSC,Vietnam,492302.18,,6.89,,,,1.15,7883187.91,,1.23,1.24,17853598.1,0,7379379.3,-998044.6,-5895009.8,
VOS.HM,Vietnam Ocean Shipping JSC,Vietnam,14411027.57,,2.63,7.83,1.64,,0.94,122308377.3,0.33,1.07,1.26,206349227.1,0,74506249.83,-13168795.02,-238305.23,-10797291.61
SPC.HNO,Saigon Plant Protection JSC,Vietnam,10650644.47,,,,,,0.27,13430463.86,1.54,,,24598790.69,0.07,38799265.94,,-182285.94,
PVV.HN,Vinaconex PVC Construction Investment JSC,Vietnam,3356605.8,14.73,1.49,11.92,1.15,,0.79,16601672.35,0.36,0.49,0.83,56869204.5,0,18969940.69,188159.36,-241787.49,-259514.74
DTV.HNO,Tra Vinh Rural Electric Development Joint Stock Corp,Vietnam,353383.46,,,,,,,-1004428.51,0.1,,,4454715.8,1,13488442.79,,-19601.76,
SHP.HM,Southern Hydropower JSC,Vietnam,82201929.82,11.27,1.25,7.19,5.79,17.36,0.46,145461187.5,1.58,0.95,0.96,129581054.6,0.08,26453980.34,7320333.24,-286009.75,5387002.3
NVB.HN,National Citizen Commercial Joint Stock Bank,Vietnam,74603897.74,302.71,0,3.95,0.24,,0,31235322.65,0.54,,,2145462726,0,,288708.26,-2032160.46,-16668.31
ALV.HN,Vinas A Luoi Mineral JSC,Vietnam,848102.26,6.48,0,7.16,0.37,2.92,0,741495.85,0.37,2.33,2.69,2248685.68,0,1475198.16,109379.82,-333629.89,153876.85
S27.HNO,Song Da 27 JSC,Vietnam,668721.51,,,,,,,669440.57,,0.43,0.71,5061145.87,0,1209377.21,-115230,-1411.36,-320169.28
SCO.HNO,Seaproducts Mechanical Shareholding JSC,Vietnam,382020.68,,,,,,1.02,3364898.08,-0.08,0.18,0.36,3043091.21,0,1923882.8,-113258.82,-35457.04,
HCI.HNO,Hanoi Construction Investment JSC,Vietnam,4987540.28,,0.02,,,,0.08,770492.12,1.35,1,1.33,12980159.67,0.08,2140877.41,442869.83,-310769.66,
TV1.HM,Power Engineering Consulting JSC 1,Vietnam,16126602.51,11.44,3.88,6.91,2.69,11.89,0.8,72769324.88,1.12,0.47,0.98,85930499.83,0.11,25335882.87,1348693.79,-1774234.25,1360672.13
PTL.HM,Petro Capital and Infrastructure Investment JSC,Vietnam,11946639.63,198.47,0.31,14.87,1.31,38.1,0.41,28146955.18,0.31,1.1,1.72,77934851.25,0,21132886.16,223307.44,-182880.99,317149.81
MTP.HNO,Medipharco Tenamyd Central Pharmaceutical JSC,Vietnam,2345708.02,,,,,,0.86,14265240.24,1.26,,,20156197.94,0.07,32075776.73,,-40377.69,
POV.HNO,Vung Ang Petroleum JSC,Vietnam,4027926.96,7.32,0.19,2.79,0.04,6.45,0.25,5084282.88,0.57,0.64,0.73,11322409.98,0,78605649.95,577171.18,-579947.14,630696.92
